Observed,Action,Observer,Category
Ai,Arms on leg,Agat,arm
Ai,Big movements with arms,Ainhoa,arm
TO,left arm touch right elbow,Ainhoa,arm
TO,left arm touch right elbow again,Ainhoa,arm
V,left elbow on knee,venuri,arm
V,two elbows on thighs,venuri,arm
TO,open right arm left hand on right elbow,Venuri,arm
AG,Body looking to interlocutor,Ainhoa,body full
AG,shift weight,asa,body full
AG,laugh back twist body,asa,body full
Asa,rotate ,Asa,body full
TO,twitch,asa,body full
Ai,still,Venuri,body full
Asa,Body turning away,,body full
AG,shifting bum on seat,Venuri,body lower
Asa,shifting seat,venuri,body lower
TO,Bending forward,Agat,body upper
V,torso relaxed / slouch,asa,body upper
V,laugh leans back,asa,body upper
Ai,breath in out,asa,body upper
TO,lean forward,T-O,body upper
AG,upper body still,Venuri,body upper
Asa,upper body leaning back (diagonal) ,venuri,body upper
Asa,relaxed upper body,venuri,body upper
V,upper body moves left to right,venuri,body upper
V,lean forward,venuri,body upper
Ai,left shoulder up,venuri,body upper
Ai,lean forward right elbow on knee,venuri,body upper
Ai,lift upper body up,Venuri,body upper
TO,hunch,Venuri,body upper
Asa,Looks down,Agat,face
Asa,Blinking eyes,Agat,face
Asa,Look to camera,Agat,face
TO,Looking away from camera,Agat,face
Asa,Laughing and then body looking to Agat,Ainhoa,face
V,Smile,Ainhoa,face
Asa,left shoulder laugh,Asa,face
V,"eyes right, blink",asa,face
V,chew lips,asa,face
Ai,open mouth,asa,face
Ai,laugh look down right,asa,face
TO,look up and left,asa,face
TO,nodding smilling,asa,face
TO,smile,T-O,face
V,frown,venuri,face
Ai,small smile,Venuri,face
TO,smile,Venuri,face
TO,look left,Venuri,face
TO,Toe twitch,Agat,feet
AG,feet hiden in the chair,Ainhoa,feet
TO,Feets crossed,Ainhoa,feet
AG,feed under stack,asa,feet
AG,then to side kick left foot,asa,feet
Asa,twitch foot,Asa,feet
V,crossed feet,asa,feet
TO,feet crossed,asa,feet
TO,feet crossed,T-O,feet
Asa,left ankle on right knee,venuri,feet
Asa,up and down left foot,venuri,feet
Asa,right foot shake,venuri,feet
V,both heels on chair ,venuri,feet
TO,cross feet,Venuri,feet
AG,shifting heels of the floor,venuri ,feet
AG,right foot on left ankle,venuri ,feet
AG,foot pushing ankle,venuri ,feet
AG,Thumb moves,Agat,fingers
AG,Points,Agat,fingers
V,Hand points behind,Agat,fingers
AG,left fingers extend fist bop,asa,fingers
Ai,point to ear,asa,fingers
Ai,knit fingers,asa,fingers
AG,interwined fingers,venuri,fingers
AG,right thumb light rubbing,venuri,fingers
Asa,entangled fingers,venuri,fingers
V,left to right finger poiting,venuri,fingers
AG,Hands touch,Agat,hands
AG,Hands separate,Agat,hands
AG,Hands clasp,Agat,hands
